t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
470,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4
471,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4
472,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4,1.575126096747567e-4
473,1.575126096747567e-4,1.575126096747488e-4,1.5751260967476443e-4,1.575126096747567e-4,1.5751260967474922e-4,1.5751260967476416e-4
474,1.5751260967475342e-4,1.5751260967354253e-4,1.5751260967592976e-4,1.5751260967475388e-4,1.5751260967401614e-4,1.5751260967583294e-4
475,1.5751260967471399e-4,1.5751260636568548e-4,1.5751260967848956e-4,1.5751260967473678e-4,1.5751260508351666e-4,1.5751260967891933e-4
476,1.5751260967499e-4,1.575125931229976e-4,1.5751262556979912e-4,1.5751260967409282e-4,1.5751259372941948e-4,1.575126265130818e-4
477,1.5751260971591364e-4,1.5751257074573085e-4,1.5751264569256932e-4,1.5751261065009584e-4,1.575125827086614e-4,1.5751265280218823e-4
478,1.5751262155769312e-4,1.5751148647643045e-4,1.5751350617894438e-4,1.5751260968803943e-4,1.5751190225413213e-4,1.5751319846150265e-4
479,1.5751190700942283e-4,1.5750444057734302e-4,1.5751527844474946e-4,1.5751227033388324e-4,1.5750727491922737e-4,1.5751572512373317e-4
480,1.5751595309977055e-4,1.5749365560704945e-4,1.5753212507049508e-4,1.5751606858968866e-4,1.574980882281086e-4,1.575264122939062e-4
481,1.5750281398097606e-4,1.5746035539201424e-4,1.5754715978373045e-4,1.5750567208759917e-4,1.574706263443441e-4,1.5754137447089597e-4
482,1.5753281065776763e-4,1.5744906677517539e-4,1.5761718478072558e-4,1.5753463642785142e-4,1.5745844510829915e-4,1.5760229777574266e-4
483,1.574866454441078e-4,1.5738747313773482e-4,1.5762076247603326e-4,1.575004411504799e-4,1.5740168650714762e-4,1.5761208719194017e-4
484,1.5756519584874128e-4,1.572902159193126e-4,1.5797469049136492e-4,1.5755802831339178e-4,1.5729274274238925e-4,1.5793477546577426e-4
485,1.5745911655404271e-4,1.571623537117646e-4,1.578635636879726e-4,1.574689846645441e-4,1.571861597962533e-4,1.5782086996610177e-4
486,1.5767432352946289e-4,1.5706109479436182e-4,1.593849835587825e-4,1.5764821638266038e-4,1.5708090302888277e-4,1.5943645183740923e-4
487,1.5796994209502926e-4,1.5632969443610137e-4,1.5914916973909767e-4,1.5780797898114966e-4,1.5626211109455912e-4,1.5900896019784932e-4
488,1.5767205763024834e-4,1.563700028360438e-4,1.62353871332222e-4,1.575729665499498e-4,1.564908822139429e-4,1.6241790071474643e-4
489,1.5770850323656353e-4,1.5392658935005409e-4,1.6381466936890528e-4,1.5788323210514312e-4,1.5376031990287623e-4,1.6389466194168635e-4
490,1.5901295459243807e-4,1.543714711320864e-4,1.6821792339270612e-4,1.5906388643230086e-4,1.5439041993895732e-4,1.6831698294337194e-4
491,1.582298247114543e-4,1.5069561893813247e-4,1.725242715349201e-4,1.5805894243987303e-4,1.5064778105855693e-4,1.7250785378697587e-4
492,1.595055474343387e-4,1.5001603392322986e-4,1.7886359194517956e-4,1.5955942222549153e-4,1.4996511687756926e-4,1.790252764416169e-4
493,1.5916823589420129e-4,1.4596224395129647e-4,1.862056922930327e-4,1.5921238276649043e-4,1.4596164551591953e-4,1.8604054046820437e-4
494,1.6032721955813771e-4,1.4368580454682137e-4,1.9505763965654496e-4,1.6032945053941173e-4,1.4368808057561665e-4,1.9526490989345302e-4
495,1.604586093886925e-4,1.391292217740381e-4,2.0562052411967675e-4,1.6053871045247203e-4,1.3906603391503422e-4,2.0531287801634477e-4
496,1.6145509116222397e-4,1.3521908841926828e-4,2.165611589322185e-4,1.6143890520504414e-4,1.3533431075007793e-4,2.1678009022195688e-4
497,1.6233643909004537e-4,1.3054682461602408e-4,2.3037150719991065e-4,1.6236277478723468e-4,1.3042265444098653e-4,2.301092731662354e-4
498,1.62610832634635e-4,1.2458242130130245e-4,2.42527147123582e-4,1.6267311147073266e-4,1.247580471100663e-4,2.4246050394800085e-4
499,1.64859172629525e-4,1.2059247651909254e-4,2.5810071278899486e-4,1.6478434068054631e-4,1.2058798522015116e-4,2.5840456669503714e-4
500,1.6417378330211793e-4,1.1339172487751213e-4,2.7271029662221183e-4,1.642088555493811e-4,1.1327933868690664e-4,2.724050163859313e-4
501,1.6638736046879586e-4,1.0876722415684368e-4,2.876997927961409e-4,1.6641923325871967e-4,1.0894346300385436e-4,2.8774989281521e-4
502,0.00016730247616545839,1.0320030719040702e-4,3.0274110214356187e-4,1.673310781997986e-4,1.0308526298635767e-4,3.0281085980998713e-4
503,1.67678685764544e-4,9.551912703459437e-5,3.1795833006530334e-4,1.6793492095306696e-4,9.55720390159901e-5,3.179644539679171e-4
504,1.6938310440045942e-4,9.146502517718577e-5,3.3251418430645373e-4,1.691894575583151e-4,9.153341193711537e-5,3.325635473874299e-4
505,1.698651467765446e-4,8.51565192966821e-5,3.4730058538678856e-4,1.696681508788824e-4,8.506374654439547e-5,3.473030457052176e-4
506,1.7095031549171002e-4,8.077394466134107e-5,3.6079890438150454e-4,1.7113143081880293e-4,8.086632886377299e-5,3.608429011017607e-4
507,1.7166081025543747e-4,7.488848363585995e-5,3.746466227914826e-4,1.7151749790300736e-4,7.47159244042671e-5,3.746412635298861e-4
508,1.7244762332279342e-4,7.071119345773801e-5,3.867582081258778e-4,1.726490459141295e-4,7.067530088569111e-5,3.86823231616651e-4
509,1.733741115771462e-4,6.561912366936931e-5,3.9940765693763835e-4,1.733812039970434e-4,6.574218011111168e-5,3.993306833418584e-4
510,1.7382529850820108e-4,6.15706413518289e-5,4.0989834527441747e-4,1.7391312286506208e-4,6.156198801163155e-5,4.1000025368988495e-4
511,1.7489176219873825e-4,5.733397403764855e-5,4.2137793691607317e-4,1.7489822800701755e-4,5.736215653670029e-5,4.2128974593464493e-4
512,1.7502650280249872e-4,5.3667957818397824e-5,4.3030572865767193e-4,1.751062476235967e-4,5.3655764105682536e-5,4.302245710526188e-4
