t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
470,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4
471,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4
472,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4,9.89601487804589e-4
473,9.896014878045946e-4,9.896014878045816e-4,9.896014878046193e-4,9.896014878045972e-4,9.89601487804576e-4,9.896014878046193e-4
474,9.89601487804578e-4,9.89601487575246e-4,9.896014878062265e-4,9.896014878045816e-4,9.89601487632502e-4,9.89601487807167e-4
475,9.896014866039582e-4,9.896014714831083e-4,9.896014956694975e-4,9.896014874884041e-4,9.896014705507408e-4,9.896014918109703e-4
476,9.8960148490102e-4,9.896014396119303e-4,9.896015057996896e-4,9.896014758628397e-4,9.896014356010822e-4,9.896015003501048e-4
477,9.89601527119648e-4,9.896013604310438e-4,9.896015981073485e-4,9.896015308026374e-4,9.896013521800775e-4,9.896016226601005e-4
478,9.896010932694964e-4,9.895986987199694e-4,9.89602321063269e-4,9.89601019483591e-4,9.895992357705754e-4,9.896020353684573e-4
479,9.89601463234626e-4,9.895843526092113e-4,9.896097200779383e-4,9.896008582087705e-4,9.895851865607372e-4,9.896084929608005e-4
480,9.8960559139892e-4,9.89582124607136e-4,9.896375296200542e-4,9.896062832186626e-4,9.89583606297861e-4,9.896354742432814e-4
481,9.89578131757513e-4,9.895584542541761e-4,9.89661013339815e-4,9.895781141122566e-4,9.895540799491368e-4,9.896559438161488e-4
482,9.896823060459572e-4,9.89507781983161e-4,9.89767275122034e-4,9.896915444176386e-4,9.895075157248725e-4,9.897577421044113e-4
483,9.896006523858604e-4,9.894897932434847e-4,9.899216438903936e-4,9.896067880319577e-4,9.89512569140316e-4,9.899027203649062e-4
484,9.899880683161943e-4,9.891962769942894e-4,9.90331232481793e-4,9.899986266670392e-4,9.891625619099001e-4,9.903558105586305e-4
485,9.898813589600377e-4,9.892139774020595e-4,0.00099141962253576155,9.89838704222936e-4,9.892609950898907e-4,9.913226857222901e-4
486,9.907388396383893e-4,9.883423202939408e-4,9.929042000051459e-4,9.907349174959374e-4,9.882865640597586e-4,9.930659157974483e-4
487,9.914837064746457e-4,9.875707002782255e-4,9.960301838756464e-4,9.915152459709481e-4,9.876355182236068e-4,9.957590801523137e-4
488,9.92536233918452e-4,9.863641487844947e-4,0.0010006484231273878,9.924236945222618e-4,9.863128287148021e-4,0.0010011117337186371
489,9.957242454113884e-4,9.82934193646932e-4,0.0010069828776095061,9.959146736289552e-4,9.829606297254016e-4,0.0010067072105597482
490,9.971600481795406e-4,9.811746521664433e-4,0.001017940482363778,9.97069251613831e-4,9.812319126519219e-4,0.001018201079839825
491,0.0010027526123795672,9.754409883455202e-4,0.0010287691186454133,0.0010028915210555543,9.75325494442485e-4,0.0010289183488940126
492,0.0010059239602718379,9.715077540326306e-4,0.0010474355422715228,0.001005938683522702,9.71594143142609e-4,0.001047166010682809
493,0.0010134825397256006,9.637916352199812e-4,0.0010653634307527529,0.0010134808077447094,9.636293255501223e-4,0.0010655879149961112
494,0.0010190779285664752,9.571391070604394e-4,0.001090686926078119,0.0010191200841414552,9.57202249365499e-4,0.001090419098444807
495,0.0010284969461220712,9.47146942318282e-4,0.0011170582719200696,0.001028461197559269,9.470457835174387e-4,0.0011171401642219017
496,0.0010366082991318999,9.381018814539387e-4,0.0011481527810042699,0.0010366240079211575,9.380886325569804e-4,0.0011479621041522628
497,0.0010471702814465506,9.262510765605419e-4,0.001181830400681453,0.001047165375150009,9.263636861594775e-4,0.001181972661826898
498,0.0010582084786703641,9.148048539736218e-4,0.0012172343451504152,0.0010581837306508626,9.146057498942754e-4,0.0012170314906174106
499,0.0010684166741839812,9.027374862678117e-4,0.0012562826965063982,0.0010684086862967862,9.029376594084969e-4,0.0012564752381251558
500,0.0010822349195321655,8.883505765491554e-4,0.0012946722529423407,0.0010822164505469535,8.881709160318422e-4,0.0012936410755915574
501,0.001092762442981416,8.769574777766453e-4,0.0013343018783028653,0.0010927555805900204,8.769502612299117e-4,0.0013348738961569966
502,0.0011054505934620855,8.620141662284241e-4,0.0013741152593897575,0.0011054444499082323,8.623149190014306e-4,0.001374515201086883
503,0.0011165417783848947,8.498716084686269e-4,0.0014135750807697358,0.0011165149168371944,8.496356756087116e-4,0.001413927095765824
504,0.0011289289272052518,8.366149708996335e-4,0.0014522693741072059,0.0011289370090403167,8.367123717795716e-4,0.0014521989509762236
505,0.0011395030842900008,8.244755896039478e-4,0.001489829947871873,0.00113950521527774,8.243530230364701e-4,0.0014901418935000354
506,0.0011512933595555696,8.120270047624935e-4,0.0015259664574049606,0.0011513127810986825,8.120923534507163e-4,0.0015257959682236377
507,0.0011609527501623114,8.008001562217336e-4,0.0015604735916534519,0.0011609611706996188,8.007470376896174e-4,0.001560764730951429
508,0.0011716025051414255,7.892486086920318e-4,0.0015932039365121452,0.0011716179755642331,7.893026991312963e-4,0.0015930042941607909
509,0.0011803032021383902,7.79420370860931e-4,0.0016239924449883022,0.0011803125278551125,7.794574757828666e-4,0.001624290600288124
510,0.0011896882244372836,7.689526226652703e-4,0.0016530639716995643,0.0011896795410751711,7.689595685969662e-4,0.0016525957303524957
511,0.0011972210105067444,7.604723996871736e-4,0.0016796311834473853,0.001197233617952015,7.605936763436314e-4,0.0016802833557442308
512,0.0012057605634876655,7.51169682832891e-4,0.0017050472048685417,0.0012057428838396196,7.511059812228186e-4,0.0017042155269157858
513,0.0012117504156763897,7.440442575796049e-4,0.001727545144101299,0.0012117343923773657,7.441350340610868e-4,0.001728659032813504
514,0.0012195014948525231,7.358102031370464e-4,0.0017491868937289177,0.001219508850314918,7.358520194464216e-4,0.0017482999085518007
515,0.0012248275196729327,7.29899780980669e-4,0.00176785481512641,0.0012248069924517971,7.29706898266128e-4,0.0017687425538719832
516,0.0012300637014263276,7.229000466466254e-4,0.0017855545908157847,0.0012300879734010416,7.231249837044813e-4,0.0017849053379417942
517,0.00123572714606029,7.173953823451496e-4,0.0017998217077457859,0.001235734245608772,7.170255796206072e-4,0.0017998997808120478
518,0.001238700040008077,7.121524549537105e-4,0.0018134635688964514,0.0012387868656144596,7.122813250321396e-4,0.001812873059297915
519,0.001242464274773856,7.065614834830613e-4,0.0018221761585301174,0.001242446318082037,7.064502915312566e-4,0.001822646562814057
520,0.00124518103100498,7.028776144952591e-4,0.0018310327229388039,0.00124526341752587,7.027910342608194e-4,0.001827223113861432
521,0.0012465460924639595,6.973484636424694e-4,0.0018337418193863704,0.0012465515049010557,6.974946035325675e-4,0.0018329351912734055
522,0.001250038574083229,6.946245653324176e-4,0.0018356923919672391,0.0012499322325267683,6.945602505976729e-4,0.0018315176740318678
523,0.0012504191418051555,6.894250735006512e-4,0.0018330752205589869,0.0012505120904012278,6.8949567161235e-4,0.0018295882524594434
524,0.0012445241954987633,6.870574134269305e-4,0.001826590368784799,0.001244792543467205,6.870845783169005e-4,0.0018226162191735645
525,0.0012390737112234428,6.822228469724052e-4,0.001818906974284035,0.0012397992741794333,6.823085788563817e-4,0.0018134786028048285
526,0.001227973319056205,6.798933149979136e-4,0.001804953206036957,0.0012277182509576115,6.797582943538487e-4,0.0018002188839186652
527,0.0012206268670586864,6.757970306508856e-4,0.0017922084955654097,0.0012206871754094565,6.760093580623625e-4,0.0017857515136287122
